Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
SVEAF SS Equity;SVEAFASTIGHETER AB;BBB-;SW;Real Estate
HTGC US Equity;HERCULES CAPITAL INC;BBB-;US;Financials
JAZZ US Equity;JAZZ PHARMACEUTICALS PLC;BB;IR;Health Care
ALBI AB Equity;BANK ALBILAD;A-;SR;Financials
OTEL OM Equity;OMAN TELECOMMUNICATIONS CO;BBB-;OM;Communication Services
CMCX LN Equity;CMC MARKETS PLC;BBB-;GB;Financials
CF US Equity;CF INDUSTRIES HOLDINGS INC;BBB;US;Materials
GTE US Equity;GRAN TIERRA ENERGY INC;B+;CA;Energy
3311 HK Equity;CHINA STATE CONSTRUCTION INT;BBB+;HK;Industrials
AMP US Equity;AMERIPRISE FINANCIAL INC;A-;US;Financials
3328 HK Equity;BANK OF COMMUNICATIONS CO-H;A;CH;Financials
MLT SP Equity;MAPLETREE LOGISTICS TRUST;BBB+;SI;Real Estate
EIB UH Equity;EMIRATES ISLAMIC BANK;A+;UA;Financials
BIDU US Equity;BAIDU INC - SPON ADR;A;CH;Communication Services
SGREIT SP Equity;STARHILL GLOBAL REIT;BBB;SI;Real Estate
EXPE US Equity;EXPEDIA GROUP INC;BBB;US;Consumer Discretionary
TAQA UH Equity;ABU DHABI NATIONAL ENERGY CO;AA;UA;Utilities
ACCO US Equity;ACCO BRANDS CORP;BB-;US;Industrials
EVOK LN Equity;EVOKE PLC;B;GI;Consumer Discretionary
ET US Equity;ENERGY TRANSFER LP;BBB;US;Energy
3988 HK Equity;BANK OF CHINA LTD-H;A;CH;Financials
EFGN SW Equity;EFG INTERNATIONAL AG;A;SZ;Financials
KOP US Equity;KOPPERS HOLDINGS INC;BB-;US;Materials
HIK LN Equity;HIKMA PHARMACEUTICALS PLC;BBB;GB;Health Care
EREIT SP Equity;ESR-REIT;BBB;SI;Real Estate
IVT US Equity;INVENTRUST PROPERTIES CORP;BBB-;US;Real Estate
880 HK Equity;SJM HOLDINGS LTD;BB-;HK;Consumer Discretionary
405 HK Equity;YUEXIU REAL ESTATE INVESTMEN;BBB-;HK;Real Estate
TAVHL TI Equity;TAV HAVALIMANLARI HOLDING AS;BB+;TU;Industrials
TCB VN Equity;VIETNAM TECHNOLOGICAL & COMM;BB-;VN;Financials
MARK QD Equity;AL RAYAN BANK;A;QA;Financials
NOG US Equity;NORTHERN OIL AND GAS INC;BB-;US;Energy
CLAS SP Equity;CAPITALAND ASCOTT TRUST;BBB;SI;Real Estate
UAL US Equity;UNITED AIRLINES HOLDINGS INC;BB+;US;Industrials
LIGT3 BZ Equity;LIGHT SA;D;BZ;Utilities
GRF SM Equity;GRIFOLS SA;B+;SP;Health Care
1800 HK Equity;CHINA COMMUNICATIONS CONST-H;BBB+;CH;Industrials
CATE SS Equity;CATENA AB;BBB;SW;Real Estate
FINDEP* MM Equity;FINANCIERA INDEPENDENCIA SAB;BB;MX;Financials
THBEV SP Equity;THAI BEVERAGE PCL;BBB-;TH;Consumer Staples
KBR US Equity;KBR INC;BB+;US;Industrials
QVCGA US Equity;QVC GROUP INC;CCC+;US;Consumer Discretionary
RECL IN Equity;REC LTD;BBB-;IN;Financials
UGZB UZ Equity;UKRGAZBANK;CCC;UK;
ALGT US Equity;ALLEGIANT TRAVEL CO;BB-;US;Industrials
KALU US Equity;KAISER ALUMINUM CORP;BB-;US;Materials
BOUBYAN KK Equity;BOUBYAN BANK K.S.C;A;KU;Financials
ALINMA AB Equity;ALINMA BANK;A-;SR;Financials
MIN AU Equity;MINERAL RESOURCES LTD;BB-;AU;Materials
STB VN Equity;SAIGON THUONG TIN COMMERCIAL;BB-;VN;Financials
TNL US Equity;TRAVEL + LEISURE CO;BB-;US;Consumer Discretionary
DMRE GR Equity;DEMIRE DT MTS REAL ESTATE AG;CCC+;GE;Real Estate
GEB CB Equity;GRUPO ENERGIA BOGOTA SA ESP;BBB-;CO;Utilities
BBAJIOO MM Equity;BANCO DEL BAJIO SA;BB+;MX;Financials
601618 CH Equity;METALLURGICAL CORP OF CHIN-A;BBB+;CH;Industrials
082640 KS Equity;TONGYANG LIFE INSURANCE;BBB+;SK;Financials
ETI NL Equity;ECOBANK TRANSNATIONAL INC;B-;TG;Financials
OC US Equity;OWENS CORNING;BBB+;US;Industrials
MONT BB Equity;MONTEA NV;BBB+;BE;Real Estate
TAEE11 BZ Equity;TRANSMISSORA ALIANCA DE-UNIT;BB+;BZ;Utilities
AER US Equity;AERCAP HOLDINGS NV;BBB+;IR;Industrials
KGX GR Equity;KION GROUP AG;BBB;GE;Industrials
BBDC US Equity;BARINGS BDC INC;BBB-;US;Financials
LMP LN Equity;LONDONMETRIC PROPERTY PLC;BBB+;GB;Real Estate
1818 HK Equity;ZHAOJIN MINING INDUSTRY CO-H;BB+;CH;Materials
AC CN Equity;AIR CANADA;BB;CA;Industrials
ALBRK TI Equity;ALBARAKA TURK KATILIM BANKAS;B+;TU;Financials
